"公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives"
"专业基础课ProfessionalFoundational Courses","面向对象程序设计Object-orientedProgramming","必修Compulsory","2","null","第 2 学期2NdSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.2，3.1，5.1","null"
"专业基础课ProfessionalFoundational Courses","电路与电子技术Circuit and electronictechnology","必修Compulsory","3","0.5","第 3 学期3NdSemester","信息科学与技术学院 School of InformationScience and Technology","1.2，4.2","null"
"专业基础课ProfessionalFoundational Courses","数字电子技术 B Digital ElectronicTechnique B","必修Compulsory","3","null","第 3 学期3RdSemester","信息科学与技术学院 School of InformationScience and Technology","1.2，2.1","null"
"专业基础课ProfessionalFoundational Courses","数字电子技术实验 B Experiments for DigitalElectronic Technology B","必修Compulsory","1","1","第 3 学期3RdSemester","信息科学与技术学院 School of InformationScience and Technology","4.1，4.2，5.1","null"
"专业基础课ProfessionalFoundational Courses","数据结构 A Data Structure A","必修Compulsory","4","null","第 3 学期3RdSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.2，2.1，3.1","null"
"专业基础课ProfessionalFoundational Courses","数据结构实验Experiments for DataStructure","必修Compulsory","1","1","第 3 学期3RdSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.1, 4.1","null"
"专业基础课ProfessionalFoundational Courses","计算机组成原理 A Principles of ComputerComposition A","必修Compulsory","4","null","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.2，2.1，3.2","null"
"专业基础课ProfessionalFoundational Courses","计算机组成实验Experiments forPrinciples of Computer Composition","必修Compulsory","1","1","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.1，3.2，5.2","null"
"专业基础课ProfessionalFoundational Courses","操作系统Operating System","必修Compulsory","3","null","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.3，2.2，10.3","null"
"专业基础课ProfessionalFoundational Courses","操作系统实验Experiments forOperating System","必修Compulsory","1","1","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","4.1，5.2","null"
